classification_id,user_name,user_id,workflow_id,task,created_at,subject_id,extractor,data.no-there-are-no-jets-in-this-image-sequence,data.aggregation_version,data.yes-there-is-at-least-one-jet-in-this-image-sequence
341643760,SophieMu,2058613.0,18563,T0,2021-06-18 14:48:40 UTC,62802068,question_extractor,1.0,3.6.0,
341643787,SophieMu,2058613.0,18563,T0,2021-06-18 14:48:48 UTC,62802077,question_extractor,,3.6.0,1.0
341643854,SophieMu,2058613.0,18563,T0,2021-06-18 14:49:09 UTC,62802054,question_extractor,1.0,3.6.0,
341643887,SophieMu,2058613.0,18563,T0,2021-06-18 14:49:23 UTC,62802003,question_extractor,,3.6.0,1.0
341643909,SophieMu,2058613.0,18563,T0,2021-06-18 14:49:33 UTC,62802063,question_extractor,,3.6.0,1.0
341643936,SophieMu,2058613.0,18563,T0,2021-06-18 14:49:42 UTC,62801937,question_extractor,1.0,3.6.0,
341643962,SophieMu,2058613.0,18563,T0,2021-06-18 14:49:49 UTC,62801928,question_extractor,1.0,3.6.0,
341815850,SophieMu,2058613.0,18563,T0,2021-06-19 14:57:35 UTC,62835269,question_extractor,1.0,3.6.0,
341815882,SophieMu,2058613.0,18563,T0,2021-06-19 14:57:47 UTC,62835243,question_extractor,1.0,3.6.0,
341815905,SophieMu,2058613.0,18563,T0,2021-06-19 14:57:54 UTC,62834115,question_extractor,1.0,3.6.0,
341815923,SophieMu,2058613.0,18563,T0,2021-06-19 14:58:01 UTC,62835475,question_extractor,1.0,3.6.0,
341815959,SophieMu,2058613.0,18563,T0,2021-06-19 14:58:16 UTC,62833038,question_extractor,1.0,3.6.0,
341815985,SophieMu,2058613.0,18563,T0,2021-06-19 14:58:28 UTC,62835029,question_extractor,1.0,3.6.0,
341816018,SophieMu,2058613.0,18563,T0,2021-06-19 14:58:35 UTC,62835446,question_extractor,,3.6.0,1.0
341816056,SophieMu,2058613.0,18563,T0,2021-06-19 14:58:49 UTC,62835557,question_extractor,,3.6.0,1.0
341816076,SophieMu,2058613.0,18563,T0,2021-06-19 14:58:57 UTC,62835611,question_extractor,1.0,3.6.0,
341816090,SophieMu,2058613.0,18563,T0,2021-06-19 14:59:07 UTC,62833838,question_extractor,1.0,3.6.0,
341816097,SophieMu,2058613.0,18563,T0,2021-06-19 14:59:13 UTC,62835223,question_extractor,,3.6.0,1.0
341818126,SophieMu,2058613.0,18563,T0,2021-06-19 15:12:24 UTC,62834069,question_extractor,1.0,3.6.0,
341818155,SophieMu,2058613.0,18563,T0,2021-06-19 15:12:33 UTC,62832754,question_extractor,1.0,3.6.0,
341818189,SophieMu,2058613.0,18563,T0,2021-06-19 15:12:43 UTC,62833593,question_extractor,,3.6.0,1.0
341818206,SophieMu,2058613.0,18563,T0,2021-06-19 15:12:50 UTC,62835415,question_extractor,1.0,3.6.0,
341818230,SophieMu,2058613.0,18563,T0,2021-06-19 15:12:57 UTC,62834147,question_extractor,1.0,3.6.0,
341818285,SophieMu,2058613.0,18563,T0,2021-06-19 15:13:23 UTC,62833477,question_extractor,,3.6.0,1.0
341818295,SophieMu,2058613.0,18563,T0,2021-06-19 15:13:30 UTC,62835851,question_extractor,,3.6.0,1.0
341818307,SophieMu,2058613.0,18563,T0,2021-06-19 15:13:37 UTC,62835764,question_extractor,,3.6.0,1.0
341818340,SophieMu,2058613.0,18563,T0,2021-06-19 15:13:50 UTC,62833661,question_extractor,,3.6.0,1.0
341818361,SophieMu,2058613.0,18563,T0,2021-06-19 15:14:00 UTC,62833911,question_extractor,1.0,3.6.0,
341818376,SophieMu,2058613.0,18563,T0,2021-06-19 15:14:07 UTC,62833297,question_extractor,,3.6.0,1.0
341818385,SophieMu,2058613.0,18563,T0,2021-06-19 15:14:13 UTC,62833286,question_extractor,,3.6.0,1.0
341818400,SophieMu,2058613.0,18563,T0,2021-06-19 15:14:17 UTC,62835324,question_extractor,,3.6.0,1.0
341818438,SophieMu,2058613.0,18563,T0,2021-06-19 15:14:34 UTC,62835143,question_extractor,1.0,3.6.0,
341818482,SophieMu,2058613.0,18563,T0,2021-06-19 15:14:47 UTC,62835034,question_extractor,1.0,3.6.0,
341818496,SophieMu,2058613.0,18563,T0,2021-06-19 15:14:52 UTC,62835150,question_extractor,,3.6.0,1.0
341818546,SophieMu,2058613.0,18563,T0,2021-06-19 15:15:08 UTC,62832801,question_extractor,,3.6.0,1.0
341818574,SophieMu,2058613.0,18563,T0,2021-06-19 15:15:18 UTC,62832847,question_extractor,,3.6.0,1.0
341818596,SophieMu,2058613.0,18563,T0,2021-06-19 15:15:25 UTC,62833169,question_extractor,1.0,3.6.0,
341818619,SophieMu,2058613.0,18563,T0,2021-06-19 15:15:35 UTC,62835357,question_extractor,1.0,3.6.0,
341818642,SophieMu,2058613.0,18563,T0,2021-06-19 15:15:41 UTC,62832996,question_extractor,,3.6.0,1.0
341818671,SophieMu,2058613.0,18563,T0,2021-06-19 15:15:51 UTC,62833446,question_extractor,1.0,3.6.0,
341818707,SophieMu,2058613.0,18563,T0,2021-06-19 15:16:02 UTC,62833298,question_extractor,,3.6.0,1.0
341819274,SophieMu,2058613.0,18563,T0,2021-06-19 15:20:24 UTC,62835076,question_extractor,1.0,3.6.0,
341819287,SophieMu,2058613.0,18563,T0,2021-06-19 15:20:31 UTC,62834003,question_extractor,1.0,3.6.0,
341819300,SophieMu,2058613.0,18563,T0,2021-06-19 15:20:43 UTC,62833564,question_extractor,1.0,3.6.0,
341819317,SophieMu,2058613.0,18563,T0,2021-06-19 15:20:51 UTC,62835363,question_extractor,1.0,3.6.0,
341819323,SophieMu,2058613.0,18563,T0,2021-06-19 15:20:57 UTC,62832924,question_extractor,,3.6.0,1.0
341819336,SophieMu,2058613.0,18563,T0,2021-06-19 15:21:06 UTC,62833895,question_extractor,1.0,3.6.0,
341819372,SophieMu,2058613.0,18563,T0,2021-06-19 15:21:29 UTC,62835142,question_extractor,1.0,3.6.0,
341819387,SophieMu,2058613.0,18563,T0,2021-06-19 15:21:37 UTC,62832648,question_extractor,1.0,3.6.0,
341819410,SophieMu,2058613.0,18563,T0,2021-06-19 15:21:47 UTC,62833814,question_extractor,1.0,3.6.0,
341819432,SophieMu,2058613.0,18563,T0,2021-06-19 15:21:56 UTC,62834129,question_extractor,1.0,3.6.0,
341819445,SophieMu,2058613.0,18563,T0,2021-06-19 15:22:02 UTC,62835771,question_extractor,,3.6.0,1.0
341819459,SophieMu,2058613.0,18563,T0,2021-06-19 15:22:09 UTC,62833221,question_extractor,1.0,3.6.0,
341819465,SophieMu,2058613.0,18563,T0,2021-06-19 15:22:16 UTC,62834145,question_extractor,1.0,3.6.0,
341819484,SophieMu,2058613.0,18563,T0,2021-06-19 15:22:26 UTC,62835333,question_extractor,1.0,3.6.0,
341819504,SophieMu,2058613.0,18563,T0,2021-06-19 15:22:43 UTC,62835637,question_extractor,1.0,3.6.0,
341819519,SophieMu,2058613.0,18563,T0,2021-06-19 15:22:52 UTC,62832743,question_extractor,1.0,3.6.0,
341819528,SophieMu,2058613.0,18563,T0,2021-06-19 15:22:56 UTC,62835366,question_extractor,1.0,3.6.0,
341819551,SophieMu,2058613.0,18563,T0,2021-06-19 15:23:06 UTC,62833878,question_extractor,1.0,3.6.0,
341819567,SophieMu,2058613.0,18563,T0,2021-06-19 15:23:13 UTC,62833039,question_extractor,1.0,3.6.0,
341819583,SophieMu,2058613.0,18563,T0,2021-06-19 15:23:18 UTC,62833282,question_extractor,,3.6.0,1.0
341819613,SophieMu,2058613.0,18563,T0,2021-06-19 15:23:33 UTC,62835629,question_extractor,1.0,3.6.0,
341819621,SophieMu,2058613.0,18563,T0,2021-06-19 15:23:42 UTC,62833329,question_extractor,1.0,3.6.0,
341819646,SophieMu,2058613.0,18563,T0,2021-06-19 15:23:52 UTC,62835141,question_extractor,1.0,3.6.0,
341819663,SophieMu,2058613.0,18563,T0,2021-06-19 15:24:02 UTC,62835377,question_extractor,,3.6.0,1.0
341819673,SophieMu,2058613.0,18563,T0,2021-06-19 15:24:07 UTC,62832790,question_extractor,1.0,3.6.0,
341819689,SophieMu,2058613.0,18563,T0,2021-06-19 15:24:14 UTC,62833858,question_extractor,1.0,3.6.0,
341819708,SophieMu,2058613.0,18563,T0,2021-06-19 15:24:22 UTC,62835416,question_extractor,1.0,3.6.0,
341819727,SophieMu,2058613.0,18563,T0,2021-06-19 15:24:30 UTC,62835309,question_extractor,1.0,3.6.0,
341819748,SophieMu,2058613.0,18563,T0,2021-06-19 15:24:39 UTC,62834100,question_extractor,1.0,3.6.0,
341819771,SophieMu,2058613.0,18563,T0,2021-06-19 15:24:46 UTC,62832653,question_extractor,1.0,3.6.0,
