subject_id,workflow_id,task,reducer,data.no-there-are-no-jets-in-this-image-sequence,data.aggregation_version,data.yes-there-is-at-least-one-jet-in-this-image-sequence
62834011,18563,T0,question_reducer,1.0,3.6.0,
62834012,18563,T0,question_reducer,1.0,3.6.0,
62834019,18563,T0,question_reducer,1.0,3.6.0,
62834021,18563,T0,question_reducer,1.0,3.6.0,
62834024,18563,T0,question_reducer,1.0,3.6.0,
62834025,18563,T0,question_reducer,1.0,3.6.0,
62834033,18563,T0,question_reducer,1.0,3.6.0,
62834035,18563,T0,question_reducer,1.0,3.6.0,
62834036,18563,T0,question_reducer,1.0,3.6.0,
62834038,18563,T0,question_reducer,1.0,3.6.0,
62834046,18563,T0,question_reducer,1.0,3.6.0,
62834059,18563,T0,question_reducer,1.0,3.6.0,
62834062,18563,T0,question_reducer,1.0,3.6.0,
62834065,18563,T0,question_reducer,1.0,3.6.0,
62834067,18563,T0,question_reducer,1.0,3.6.0,
62834078,18563,T0,question_reducer,1.0,3.6.0,
62834083,18563,T0,question_reducer,1.0,3.6.0,
62834084,18563,T0,question_reducer,1.0,3.6.0,
62834085,18563,T0,question_reducer,1.0,3.6.0,
62834096,18563,T0,question_reducer,1.0,3.6.0,
62834101,18563,T0,question_reducer,1.0,3.6.0,
62834102,18563,T0,question_reducer,1.0,3.6.0,
62834107,18563,T0,question_reducer,1.0,3.6.0,
62834108,18563,T0,question_reducer,1.0,3.6.0,
70439029,18563,T0,question_reducer,2.0,3.6.0,1.0
70439030,18563,T0,question_reducer,3.0,3.6.0,
70439031,18563,T0,question_reducer,2.0,3.6.0,1.0
70439032,18563,T0,question_reducer,,3.6.0,3.0
70439033,18563,T0,question_reducer,,3.6.0,3.0
70439034,18563,T0,question_reducer,1.0,3.6.0,2.0
70439035,18563,T0,question_reducer,,3.6.0,3.0
70439036,18563,T0,question_reducer,1.0,3.6.0,2.0
70439037,18563,T0,question_reducer,2.0,3.6.0,1.0
70439038,18563,T0,question_reducer,,3.6.0,3.0
70439039,18563,T0,question_reducer,,3.6.0,3.0
70439040,18563,T0,question_reducer,1.0,3.6.0,2.0
70439041,18563,T0,question_reducer,,3.6.0,6.0
70439042,18563,T0,question_reducer,2.0,3.6.0,1.0
70439043,18563,T0,question_reducer,2.0,3.6.0,1.0
70439044,18563,T0,question_reducer,3.0,3.6.0,
70439045,18563,T0,question_reducer,2.0,3.6.0,1.0
70439046,18563,T0,question_reducer,1.0,3.6.0,2.0
70439047,18563,T0,question_reducer,,3.6.0,3.0
70439048,18563,T0,question_reducer,,3.6.0,3.0
70439049,18563,T0,question_reducer,3.0,3.6.0,
70439050,18563,T0,question_reducer,2.0,3.6.0,1.0
70439051,18563,T0,question_reducer,1.0,3.6.0,2.0
70439052,18563,T0,question_reducer,2.0,3.6.0,1.0
70439053,18563,T0,question_reducer,1.0,3.6.0,2.0
70439054,18563,T0,question_reducer,,3.6.0,3.0
70439055,18563,T0,question_reducer,2.0,3.6.0,1.0
70439056,18563,T0,question_reducer,1.0,3.6.0,2.0
70439057,18563,T0,question_reducer,3.0,3.6.0,
70439058,18563,T0,question_reducer,,3.6.0,3.0
70439059,18563,T0,question_reducer,3.0,3.6.0,
70439060,18563,T0,question_reducer,3.0,3.6.0,
70439061,18563,T0,question_reducer,3.0,3.6.0,
70439062,18563,T0,question_reducer,3.0,3.6.0,
70439063,18563,T0,question_reducer,3.0,3.6.0,
70439064,18563,T0,question_reducer,2.0,3.6.0,1.0
70439065,18563,T0,question_reducer,,3.6.0,3.0
70439066,18563,T0,question_reducer,,3.6.0,3.0
70439067,18563,T0,question_reducer,1.0,3.6.0,2.0
70439068,18563,T0,question_reducer,2.0,3.6.0,1.0
70439069,18563,T0,question_reducer,,3.6.0,3.0
70439070,18563,T0,question_reducer,,3.6.0,3.0
70439071,18563,T0,question_reducer,,3.6.0,3.0
70439072,18563,T0,question_reducer,,3.6.0,3.0
70439073,18563,T0,question_reducer,2.0,3.6.0,1.0
70439074,18563,T0,question_reducer,,3.6.0,3.0
70439075,18563,T0,question_reducer,,3.6.0,3.0
70439076,18563,T0,question_reducer,1.0,3.6.0,2.0
70439077,18563,T0,question_reducer,,3.6.0,4.0
70439078,18563,T0,question_reducer,3.0,3.6.0,
70439079,18563,T0,question_reducer,2.0,3.6.0,1.0
70439080,18563,T0,question_reducer,1.0,3.6.0,2.0
70439081,18563,T0,question_reducer,2.0,3.6.0,1.0
70439082,18563,T0,question_reducer,,3.6.0,3.0
70439083,18563,T0,question_reducer,1.0,3.6.0,2.0
70439084,18563,T0,question_reducer,3.0,3.6.0,
70439085,18563,T0,question_reducer,1.0,3.6.0,2.0
70439086,18563,T0,question_reducer,2.0,3.6.0,1.0
70439087,18563,T0,question_reducer,2.0,3.6.0,1.0
70439088,18563,T0,question_reducer,,3.6.0,3.0
