id,reducer_key,workflow_id,subject_id,created_at,updated_at,subgroup,lock_version,reducible_id,reducible_type,data.agreement,data.most_likely,data.num_votes,data.extracts,data.classifications
57407065,consensus,18563,43467753,2021-06-15 17:46:05 UTC,2021-06-15 17:46:05 UTC,_default,0,18563,Workflow,1.0,0,1,"",""
57407075,consensus,18563,43467758,2021-06-15 17:46:34 UTC,2021-06-15 17:46:34 UTC,_default,0,18563,Workflow,1.0,0,1,"",""
57407103,consensus,18563,43467863,2021-06-15 17:48:12 UTC,2021-06-15 17:48:12 UTC,_default,0,18563,Workflow,1.0,0,1,"",""
57407112,consensus,18563,43467808,2021-06-15 17:48:31 UTC,2021-06-15 17:48:31 UTC,_default,0,18563,Workflow,1.0,0,1,"",""
57407115,consensus,18563,43467768,2021-06-15 17:48:40 UTC,2021-06-15 17:48:40 UTC,_default,0,18563,Workflow,1.0,1,1,"",""
57407160,consensus,18563,43467799,2021-06-15 17:50:34 UTC,2021-06-15 17:50:34 UTC,_default,0,18563,Workflow,1.0,0,1,"",""
57407242,consensus,18563,43467713,2021-06-15 17:53:13 UTC,2021-06-15 17:53:13 UTC,_default,0,18563,Workflow,1.0,0,1,"",""
57407247,consensus,18563,43467876,2021-06-15 17:53:20 UTC,2021-06-15 17:53:20 UTC,_default,0,18563,Workflow,1.0,0,1,"",""
57454302,consensus,18563,43467701,2021-06-17 18:07:47 UTC,2021-06-17 18:07:47 UTC,_default,0,18563,Workflow,1.0,0,1,"",""
57466168,consensus,18563,43467854,2021-06-18 12:23:30 UTC,2021-06-18 12:23:30 UTC,_default,0,18563,Workflow,1.0,1,1,"",""
57466171,consensus,18563,43467897,2021-06-18 12:24:00 UTC,2021-06-18 12:24:00 UTC,_default,0,18563,Workflow,1.0,0,1,"",""
57469409,consensus,18563,62802068,2021-06-18 14:48:42 UTC,2021-06-18 14:48:42 UTC,_default,0,18563,Workflow,1.0,1,1,"",""
57469410,consensus,18563,62802077,2021-06-18 14:48:49 UTC,2021-06-18 14:48:49 UTC,_default,0,18563,Workflow,1.0,0,1,"",""
57469420,consensus,18563,62802054,2021-06-18 14:49:11 UTC,2021-06-18 14:49:11 UTC,_default,0,18563,Workflow,1.0,1,1,"",""
57469423,consensus,18563,62802003,2021-06-18 14:49:24 UTC,2021-06-18 14:49:24 UTC,_default,0,18563,Workflow,1.0,0,1,"",""
57469424,consensus,18563,62802063,2021-06-18 14:49:34 UTC,2021-06-18 14:49:34 UTC,_default,0,18563,Workflow,1.0,0,1,"",""
57469426,consensus,18563,62801937,2021-06-18 14:49:43 UTC,2021-06-18 14:49:43 UTC,_default,0,18563,Workflow,1.0,1,1,"",""
57469430,consensus,18563,62801928,2021-06-18 14:49:51 UTC,2021-06-18 14:49:51 UTC,_default,0,18563,Workflow,1.0,1,1,"",""
57514553,consensus,18563,62835269,2021-06-19 14:57:36 UTC,2021-06-23 08:07:54 UTC,_default,2,18563,Workflow,0.6666666666666666,0,2,"",""
57514558,consensus,18563,62835243,2021-06-19 14:57:51 UTC,2021-06-25 15:11:20 UTC,_default,2,18563,Workflow,1.0,1,3,"",""
57514563,consensus,18563,62834115,2021-06-19 14:57:55 UTC,2021-07-02 18:32:26 UTC,_default,2,18563,Workflow,1.0,1,3,"",""
57514567,consensus,18563,62835475,2021-06-19 14:58:02 UTC,2021-06-26 18:48:14 UTC,_default,2,18563,Workflow,1.0,1,3,"",""
57514576,consensus,18563,62833038,2021-06-19 14:58:17 UTC,2021-06-22 17:43:01 UTC,_default,2,18563,Workflow,0.6666666666666666,1,2,"",""
57514590,consensus,18563,62835029,2021-06-19 14:58:29 UTC,2021-06-22 17:47:55 UTC,_default,2,18563,Workflow,0.6666666666666666,1,2,"",""
57514597,consensus,18563,62835446,2021-06-19 14:58:36 UTC,2021-06-22 15:45:03 UTC,_default,2,18563,Workflow,1.0,0,3,"",""
57514610,consensus,18563,62835557,2021-06-19 14:58:50 UTC,2021-06-23 18:36:41 UTC,_default,2,18563,Workflow,1.0,0,3,"",""
57514613,consensus,18563,62835611,2021-06-19 14:58:58 UTC,2021-06-22 20:37:04 UTC,_default,2,18563,Workflow,1.0,1,3,"",""
57514619,consensus,18563,62833838,2021-06-19 14:59:08 UTC,2021-06-29 19:37:32 UTC,_default,2,18563,Workflow,1.0,1,3,"",""
57514620,consensus,18563,62835223,2021-06-19 14:59:14 UTC,2021-06-27 06:54:48 UTC,_default,2,18563,Workflow,0.6666666666666666,0,2,"",""
57514903,consensus,18563,62834069,2021-06-19 15:12:26 UTC,2021-07-20 06:50:13 UTC,_default,3,18563,Workflow,1.0,1,4,"",""
57514908,consensus,18563,62832754,2021-06-19 15:12:34 UTC,2021-07-01 19:56:45 UTC,_default,2,18563,Workflow,0.6666666666666666,1,2,"",""
